Track;Artist;Fecha de lanzamiento;All Time Rank;Track Score;Spotify Streams;Spotify Playlist Count;Spotify Playlist Reach;Spotify Popularity;YouTube Views;YouTube Likes;TikTok Posts;TikTok Likes;TikTok Views;YouTube Playlist Reach;Apple Music Playlist Count;Amazon Playlist Count;Shazam Counts;Explicit Track
MILLION DOLLAR BABY;Tommy Richman;26/4/2024;1;7254;390470936;30716;196631588;92;84274754;1713126;5767700;651565900;5332281936;150597040;210;114;2669262;0
Not Like Us;Kendrick Lamar;4/5/2024;2;5459;323703884;28113;174597137;92;116347040;3486739;674700;35223547;208339025;156380351;188;111;1118279;1
i like the way you kiss me;Artemas;19/3/2024;3;5384;601309283;54331;211607669;92;122599116;2228730;3025400;275154237;3369120610;373784955;190;172;5285340;0
Flowers;Miley Cyrus;12/1/2023;4;4449;2031280633;269802;136569078;85;1096100899;10629796;7189811;1078757968;14603725994;3351188582;394;210;11822942;0
Houdini;Eminem;31/5/2024;5;4233;107034922;7223;151469874;88;77373957;3670188;16400;;;112763851;182;105;457017;1
Lovin On Me;Jack Harlow;10/11/2023;6;4101;670665438;105892;175421034;83;131148091;1392593;4202367;214943489;2938686633;2867222632;138;152;4517131;1
Beautiful Things;Benson Boone;18/1/2024;7;4072;900158751;73118;201585714;86;308723145;4120760;;29584940;534915313;4601579812;280;154;9990302;0
Gata Only;FloyyMenor;2/2/2024;8;3758;675079153;40094;211236940;92;228382568;1439495;3500000;338546668;3804584163;2112581620;160;53;6063523;1
Danza Kuduro - Cover;MUSIC LAB JPN;9/6/2024;9;3557;1653018119;1;15;;;;;;;;;;;1
BAND4BAND (feat. Lil Baby);Central Cee;23/5/2024;10;3306;90676573;104;184199419;86;32735244;988682;325800;121574500;974656200;174706874;191;92;666302;1
I Had Some Help (feat. Morgan Wallen);Post Malone;10/5/2024;11;3221;250080413;16219;168766158;91;32229063;550191;;184500;2100000;327130768;157;114;963413;1
The Door;Teddy Swims;14/6/2024;12;3202;111155129;2;263767;;;;;;;;;2;;1
LUNCH;Billie Eilish;17/5/2024;13;3163;221636195;138;197280692;92;40022524;1307290;195300;45889000;360017000;342107131;244;163;450344;0
Like That;Future;22/3/2024;14;3082;355186436;43025;108168634;88;98081493;1456177;;;;174491415;153;109;1963314;1
bathroom floor;Kids With Buns;7/10/2022;15;3016;297185;277;24445;12;6736502312;16785489;3;1088;22234;;1;;3288;0
LALA;Myke Towers;22/3/2023;16;2999;925655569;103605;79944921;79;934302031;4294166;11054500;521725116;7499234052;2042145659;94;83;2765808;1
Fortnight (feat. Post Malone);Taylor Swift;18/4/2024;17;2976;395433400;12784;177932568;89;104673836;2484083;139300;25348800;207317000;268893710;221;134;1210029;0
greedy;Tate McRae;14/9/2023;18;2937;1258569694;105218;198845580;87;141646818;1514837;2294429;419319161;5456156211;2667285437;207;150;6973652;1
BLUE;Billie Eilish;17/5/2024;19;2926;91272461;6499;52287548;86;16038053;569377;941900;119740900;1225345800;5839168;76;33;257661;0
As It Was;Harry Styles;31/3/2022;20;292;3301814535;407119;169783402;87;800899315;9101589;2755903;1633970617;15405881843;7289707052;455;189;14967379;0
Paint The Town Red;Doja Cat;4/8/2023;21;2905;1065399331;17089;121712197;78;240970670;2749668;3091732;652428798;7095564106;1063591802;158;146;7559816;1
Espresso;Sabrina Carpenter;12/4/2024;22;2815;547882871;24425;262343414;95;107550212;1825761;209200;169144295;1379499000;422646034;298;149;1373085;1
Danza Kuduro - Cover;MUSIC LAB JPN;21/5/2024;23;279;1655575417;10;655;;;;;;;;;;;1
TEXAS HOLD 'EM;Beyoncï¿;10/2/2024;24;2789;426700979;34044;152928632;86;35724356;437980;1470500;485200392;6518604175;1213175656;159;177;2100708;1
